,target_text,pred_str
191,ARE ZEBRAS JUST STRIPED HORSES,AEZEBRAS JUST STRIPED HORSES
192,PATHFINDER,PATHFINDER
193,VASE,EASE
194,SEIZURE,SEIZURE
195,ARE YOU SURE THIS IS OKAY,ARE YOU SURE THIS IS OKAY
196,PLAYOFFS,PLAYHOUSE
197,STARVE,STARVE
198,TOOTHPASTE,TOOTHPASTE
199,UNFORTUNATE,UNFORTUNATE
200,WITHDRAWN,WITHDRAWN
201,WILL BEETS STAIN MY PANTS,WILL BEETS STAIN MY PANTS
202,TECHNOLOGY,TECHNOLOGY
203,RED,RED
204,THE SPEAKER BOOMED FROM THE CAR,THE SPEAKER BOOMES FROM THE CAR
205,SHOCK,SHOCK
206,SOFTEN,SOFTON
207,YOUR SHADOW ALWAYS FOLLOWS YOU,YOUR TAT ALWAYS FOLLOWS YOU
208,HIS CAR THUNDERED DOWN THE ROAD,HIS CAR THUNDERED DOWN THE ROAD
209,SPOONS,SPOONS
210,TAB,TAB
211,WISEGUY,WISEGUY
212,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THE STREET
213,SHIRT,DOT
214,SNAKE,SNAKE
215,WILL YOU SING THIS SONG,WILL YOU SING THIS SONG
216,UNDERNEATH,UNDERLA
217,THURSDAY,THURSDAY
218,SQUEEGEE,SQUEEGEE
219,SCREWDRIVER,SCREWDRIVER
220,HONEY CAN GET STICKY,HONEY HAN GETS STICKY
221,PLAYHOUSE,PLAYHOUSE
222,PATHETIC,PATHETIC
223,EVEN YOUR EARS SWEAT IN A SAUNA,EVEN THE EARS SINN A SAUNA
224,UPWARD,UPWARD
225,STOOGES,STOGED
226,SIX,SIX
227,WE SHOULD TRY TO SAVE THE WHALES,WE SHOULD TRY TO SAVE THE WHALES
228,ONE,ONE
229,IT CAN ONLY BE A GOOD CIRCUS WITH ELEPHANTS,ON CAN ONLY BE I GOOD CIRCUS IS ELEPHANTS
230,YANKEE,YANKEE
231,THE HERD BECAME ANGRY AND STARTED A STAMPEDE,THE HERD CAME ANGRY INSIDE HA STAMPEDE
232,THATCH,DHATH
233,THE BIRD SANG A SWEET MELODY,THE BIRD SANG A SWEET MELODY
234,KNIGHTS DON'T GET SCARED OF DRAGONS,MY SIT CUSE GIVING  SOLIS
235,DON'T MAKE THE SAME MISTAKES TWICE,DON'T MAKE THE SAME MITAKES TWICE
236,WAVELET,WAVELET
237,SUPER,SUPER
238,THE FLEA CHASED THE DOG,THE FLEA CHASED THE DOG
239,SEVEN,SEVEN
240,I'LL RENT AN APARTMENT TOMORROW,I'LL RENT AN APARTMENT TOMORROW
241,SCALLYWAG,SCALLYWAG
242,YIELDS,YIELDS
243,THREE,THREE
244,TRUCK,TRUCK
245,SEARCH IN BETWEEN THE COUCH CUSHIONS,SEARCH IN BETWEEN THE COUCH CUSHIONS
246,STEAKHOUSE,STEAKHOUSE
247,OVERALLS,OVERALLS
248,SMASHED,SMASHED
249,PUSH,PUSH
250,I HAVE ICE CREAM FOR YOU,I HAVE ICE CREAM FOR YOU
251,SHOE,SHOE
252,SOUR,SOUR
253,GO INSIDE AND EAT YOUR DINNER,GO INSIDE AND EAT YOUR DINNER
254,TEMPTATION,TEMPTATION
255,WOMEN,WOMING
256,WILL YOU SING THIS SONG,WILL YOU SING THIS SONG
257,REPRESENTS,REPRESENTS
258,THE ZEBRA ENTERED THE BRUSH WITH CARE,THE ZEBRA ENTERED THE BRUSH WITH CARE
259,I THOUGHT I HEARD NEW VOICES,I THOUGHT I HEARD NEW VOICES
260,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THE STREET
261,STUDIO,STUDIO
262,VAULTED,VAULTED
263,MY CLOTHES ARE WET FROM THE RAIN,MY CLOTHES ARE WIT GO THE RIING
264,THE CAR WENT TOO FAST,THE CAR WENT TOO FAST
265,SPOONS,SPOONS
266,POINTS,POINTS
267,I'M READY TO GO HOME,I'M READY TO GO HOME
268,TOURISTS,TOURISTS
269,UNROLL,UNROLL
270,TOURISTS,TOURISTS
271,UNROLL,UNROLL
272,POINTS,POINTS
273,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THE STREET
274,VAULTED,VAULTED
275,MY CLOTHES ARE WET FROM THE RAIN,MY CLOTHES ARE WET FROM THE RAIN
276,SPOONS,SPOONS
277,THE CAR WENT TOO FAST,THE CAR WENT TOO FAST
278,PUSH,PUSH
279,SHOE,SHOE
280,I HAVE ICE CREAM FOR YOU,I HAVE ICE CREAM FOR YOU
281,GO INSIDE AND EAT YOUR DINNER,GO INSIDE AND EAT YOUR DINNER
282,WOMEN,WOMEN
283,TEMPTATION,TEMPTATION
284,THE ZEBRA ENTERED THE BRUSH WITH CARE,THE ZEBRA ENTERED THE BRUSH WITH CARE
285,REPRESENTS,REPRESENTS
286,WILL YOU SING THIS SONG,WILL YOU SING THIS SONG
287,I THOUGHT I HEARD NEW VOICES,I THOUGHT I HEARD NEW VOICES
288,SUPER,SUPER
289,WAVELET,WAVELET
290,THE FLEA CHASED THE DOG,THE FLEA CHEASED THE DOG
291,SEVEN,SEVEN
292,I'LL RENT AN APARTMENT TOMORROW,I'LL RENT ANAN APARTMENT TOMORROW
293,PAYOUTS,A
294,SCALLYWAG,SCALLYWAG
295,THREE,THREE
296,TRUCK,TRUCK
297,YIELDS,YIELDS
298,STEAKHOUSE,STEAKHOUSE
299,SEARCH IN BETWEEN THE COUCH CUSHIONS,SEARCH IN BETWEEN THE COUCH CUSHIONS
300,OVERALLS,OVERALLS
301,SMASHED,SMASHED
302,THE CAR WENT TOO FAST,HARD WENT TOO FAST
303,STUDIO,STUDIO
304,VAULTED,VAULTED
305,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK AS CAR DOWN THE STREET
306,TOURISTS,TOURISTS
307,UNROLL,UNROLL
308,POINTS,POINTS
309,I'M READY TO GO HOME,I'M READY TO GO HOME
310,I THOUGHT I HEARD NEW VOICES,I THOUGHT I HEARD NEW VOICES
311,REPRESENTS,REPRESENTS
312,WILL YOU SING THIS SONG,WILL YOU SING THIS SONG
313,THE ZEBRA ENTERED THE BRUSH WITH CARE,THE ZEBRA ENTERED THE BRUSH WITH CARE
314,TEMPTATION,TEMPTATION
315,WOMEN,WOMENG
316,PUSH,PUSH
317,I HAVE ICE CREAM FOR YOU,I HAVE ICE CREAM FOR YOU
318,SHOE,SHOE
319,I'LL RENT AN APARTMENT TOMORROW,LT AN APARTMENT TOMORROW
320,SEVEN,SEVEN
321,WAVELET,WAVELIST
322,SUPER,SUPER
323,THE FLEA CHASED THE DOG,THE FLEA CHASED THE DOG
324,SMASHED,SMASHED
325,SEARCH IN BETWEEN THE COUCH CUSHIONS,SEARCH BETWEEN THE COUCH CUSHIONS
326,STEAKHOUSE,STEAKHOUSE
327,OVERALLS,OVERALLS
328,PAYOUTS,PAYOUTS
329,SCALLYWAG,SCALLYWAG
330,YIELDS,YIELDS
331,THREE,RE
332,TRUCK,TRUCK
333,THE CAR WENT TOO FAST,THE CAR WENT TOO FAST
334,VAULTED,VAULTED
335,MY CLOTHES ARE WET FROM THE RAIN,MY CLOTHES ARE WET FROM THE RAIN
336,STUDIO,STUDIO
337,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THE STREET
338,TOURISTS,TOURISTS
339,UNROLL,UNROLL
340,I'M READY TO GO HOME,OM HERI TO THE RO
341,POINTS,AINS
342,I THOUGHT I HEARD NEW VOICES,I THOUGHT I HEARD ME LOOICE
343,THE ZEBRA ENTERED THE BRUSH WITH CARE,THE ZEBRA ANTE BRUSHED WITH THE CARE
344,GO INSIDE AND EAT YOUR DINNER,GO INSIDE AND EAT YOUR DINNER
345,WOMEN,HORLY
346,TEMPTATION,TEMPTATION
347,SHOE,SHOE
348,SOUR,SOUR
349,I HAVE ICE CREAM FOR YOU,I HAVE ICE CREAM FORING YOU
350,I'LL RENT AN APARTMENT TOMORROW,I'LLRTN APARTMENT TOMORROW
351,SEVEN,SEVEN
352,SUPER,SUPER
353,WAVELET,WAVELET
354,THE FLEA CHASED THE DOG,THE FLEA CHASED THE DOG
355,SMASHED,SMASHED
356,STEAKHOUSE,STEAKHOUSE
357,SCALLYWAG,SCALLYWAG
358,THREE,THREE
359,TRUCK,TRUCK
360,YIELDS,YIELDS
361,VAULTED,VAULTED
362,MY CLOTHES ARE WET FROM THE RAIN,MY CLOTHES ARE WET FROM THE RAIN
363,STUDIO,STUDIO
364,SPOONS,SPOONS
365,THE CAR WENT TOO FAST,THE CAR WENT TOO FAST
366,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THE STREET
367,TOURISTS,TOURISTS
368,UNROLL,UNROLL
369,POINTS,SS
370,I'M READY TO GO HOME,I'M READY TO GO HOME
371,THE ZEBRA ENTERED THE BRUSH WITH CARE,THE ZEBRA ENTERED THE BRUSH WITH CARE
372,REPRESENTS,REPRESENTS
373,WILL YOU SING THIS SONG,WILL YOU SING THIS SONG
374,I THOUGHT I HEARD NEW VOICES,I THOUGHT I HEARD NEW VOICES
375,WOMEN,WOMEN
376,TEMPTATION,TEMPTATION
377,GO INSIDE AND EAT YOUR DINNER,GO INSIDE AND EAT YOUR DINNER
378,SHOE,SHOE
379,SOUR,SOUR
380,I HAVE ICE CREAM FOR YOU,I HAVE ICE CREAM FOR YOU
381,PUSH,PUSH
382,I'LL RENT AN APARTMENT TOMORROW,I'LL RENT AN A APARTMENT TOMORROW
383,SEVEN,SEVEN
384,SUPER,SUPER
385,WAVELET,WAVELET
386,THE FLEA CHASED THE DOG,THE FLEA CHASED THE DOG
387,SMASHED,SMASHED
388,OVERALLS,OVERALLS
389,SEARCH IN BETWEEN THE COUCH CUSHIONS,SEARCH IN BETWEEN THE COUCHINS
390,STEAKHOUSE,STEAKHOUSE
391,SCALLYWAG,SCALLYWRAG
392,PAYOUTS,PAYOUTS
393,THREE,THREE
394,TRUCK,DIRECT
395,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THE STREET
396,STUDIO,STUDIO
397,VAULTED,VAULTED
398,MY CLOTHES ARE WET FROM THE RAIN,MY CLOTHES ARE WET FROM THE RAIN
399,THE CAR WENT TOO FAST,THE CAR WENT TOO FAST
400,SPOONS,SPOONS
401,POINTS,POINTS
402,I'M READY TO GO HOME,I'M READY TO GO F
403,TOURISTS,TOURISTS
404,UNROLL,UNROLL
405,GO INSIDE AND EAT YOUR DINNER,GO INSIDE AND EAT YOUR DINNER
406,TEMPTATION,TEMPTATION
407,WOMEN,WOMEN
408,REPRESENTS,REPRESENTS
409,THE ZEBRA ENTERED THE BRUSH WITH CARE,THE ZEBRA ENTERED THE BRUSH WITH CARE
410,I THOUGHT I HEARD NEW VOICES,I THOUGHT I HEARD  VAVOCE
411,PUSH,
412,I HAVE ICE CREAM FOR YOU,I HAVE ICE CREAM FOR YOU
413,SOUR,SOUR
414,SHOE,SHOE
415,SEVEN,SEVEN
416,I'LL RENT AN APARTMENT TOMORROW,I'LL RENTN N APARTMENT TOMORROW
417,THE FLEA CHASED THE DOG,THE FLEA CHASED THE DO
418,WAVELET,WAVELET
419,SUPER,SUPER
420,SEARCH IN BETWEEN THE COUCH CUSHIONS,SEARCH IN R BETWEN THE COUCH CUSHIONS
421,STEAKHOUSE,STEAKHOUSE
422,OVERALLS,OVERALLS
423,SMASHED,SMASHED
424,YIELDS,YIELDS
425,THREE,TEE
426,TRUCK,TRUCK
427,SCALLYWAG,SCALLY WAG
428,RAGTIME,RAGTIME
429,SWOOP,SWOOP
430,WHITE,WHITE
431,HOMEMAKING,HOMEMAKING
432,NUCLEAR,NUCLEAR
433,CIVILIZED,CIVILIZED
434,SHEEPDOG,SHEEPDOG
435,SMOOTHLY,SMOOTHLY
436,THROWER,THROWER
437,TWO,TWO
438,SPRINGHILL,SPRINGHILL
439,SCRAPBOOK,SCRAPBOOK
440,BOOMERANG,BOOMERANG
441,MOHAWK,MOHAWK
442,FIVE,FIVE
443,PICTURE,PICTURE
444,KINGPIN,KINGPIN
445,MCDONALD,MCDONALD
446,DESIGN,DESIGN
447,ETHNIC,ETHNIC
448,PAGE,PAGE
449,UPDATED,UPDATED
450,STEPFATHER,STEPFATHER
451,SINGER,SINGER
452,SPOONS,SPOONS
453,CRENSHAW,CRENSHAW
454,EASIER,EASIER
455,OFFSHORE,OFFSHORE
456,ICEBERG,ICEBERG
457,LOGIC,LOGIC
458,ROYAL,ROYAL
459,BEHIND,BEHIND
460,THANKS,THANKS
461,TOYOTA,TOYOTA
462,WAGGING,WAGGING
463,SUBMIT,SUBMIT
464,PUSH,PUSH
465,GUMSHOE,GUMSHOE
466,CHAIR,CHAIR
467,NAPKIN,NAPKIN
468,UPDATED,UPDATED
469,STEPFATHER,STEPFATHER
470,PAGE,PAGE
471,DESIGN,DESIGN
472,ETHNIC,ETHNIC
473,KINGPIN,KINGPIN
474,MCDONALD,MCDONALD
475,MOHAWK,MOHAWK
476,PICTURE,PICTURE
477,FIVE,FIVE
478,SCRAPBOOK,SCRAPBOOK
479,SPRINGHILL,SPRINGHILL
480,THROWER,THROWER
481,TWO,TWO
482,WHITE,WHITE
483,SWOOP,SWOOP
484,RAGTIME,RAGTIME
485,SMOOTHLY,SMOOTHLY
486,SHEEPDOG,SHEEPDOG
487,CIVILIZED,CIVILIZED
488,NUCLEAR,NUCLEAR
489,HOMEMAKING,HOMEMAKING
490,GUMSHOE,GUMSHOE
491,PUSH,PUSH
492,NAPKIN,NAPKIN
493,CHAIR,CHAIR
494,SUBMIT,SUBMIT
495,WAGGING,WAGGING
496,ICEBERG,ICEBERG
497,LOGIC,LOGIC
498,CRENSHAW,CRENSHAW
499,EASIER,EASIER
500,OFFSHORE,OFFSHORE
501,SINGER,SINGER
502,SPOONS,SPOONS
503,THANKS,THANKS
504,TOYOTA,TOYOTA
505,WOOLEN,WOOLEN
506,ROYAL,ROYAL
507,BEHIND,BEHIND
508,WOOLEN,WOOLEN
509,ROYAL,ROYAL
510,BEHIND,BEHIND
511,SINGER,SINGER
512,SPOONS,SPOONS
513,CRENSHAW,CRENSHAW
514,EASIER,EASIER
515,OFFSHORE,OFFSHORE
516,ICEBERG,ICEBERG
517,NAPKIN,NAPKIN
518,CHAIR,CHAIR
519,PUSH,PUSH
520,GUMSHOE,GUMSHOE
521,WAGGING,WAGGING
522,SUBMIT,SUBMIT
523,UPDATED,
524,KINGPIN,KINGPIN
525,MCDONALD,MCDONALD
526,DESIGN,DESIGN
527,ETHNIC,ETHNIC
528,PAGE,PAGE
529,TWO,TWO
530,SPRINGHILL,SPRINGHILL
531,SCRAPBOOK,SCRAPBOOK
532,BOOMERANG,BOMERANG BOOMERANG
533,MOHAWK,MOHAWK
534,RAGTIME,RAGTIME
535,SWOOP,SWOOP
536,NUCLEAR,NUCLEAR
537,CIVILIZED,CIVILIZED
538,SHEEPDOG,SHEEP DOG
539,SUBDUE,SUBDUE
540,VOWEL,VOWEL
541,PUNISHMENT,PUNISHMENT
542,GROWL,GROWL
543,CAUTIOUSLY,CAUTIOUSLY
544,MUTUAL,MUTUAL
545,WONDERFUL,WONDERFUL
546,TOWN,TOWN
547,TEN,TEN
548,ROCK,ROCK
549,SHORTCHANGE,SHORTCHANGE
550,SOUTHMOST,SOUTHMOST
551,LIFEBOATS,LIFEBOATS
552,HUMOR,HUMOR
553,OBVIOUS,OBVIOUS
554,COWBOYS,COWBOYS
555,EARTHQUAKE,EARTHQUAKE
556,SHADES,SHADES
557,SMOKE,SMOKE
558,NOVEL,NOVEL
559,CIRCUMSTANCE,CIRCUMSTANCE
560,HERBALIST,HERBALIST
561,PUSH,PUSH
562,WEATHERPROOF,WEATHERPROOF
563,SURROUND,SURROUND
564,BATHE,BATHE
565,JURORS,JURORS
566,MATURE,MATURE
567,DEPTHS,DEPTHS
568,ENGRAVE,ENGRAVE
569,OVERREACTION,OVERREACTION
570,UNWILLING,UNWILLING
571,STEAMSHIP,STEAMSHIP
572,TWENTY,TWENTY
573,THROUGHOUT,THROUGHOUT
574,ZUCCHINI,ZUCCHINI
575,SPOONS,SPOONS
576,BIRTHMARK,BIRTHMARK
577,MISJUDGED,MISJUDGED
578,FEMALE,FEMALE
579,SCHOOL,SCHOOL
580,SPOONS,SPOONS
581,HARDSHIP,HARDSHIP
582,NORMAL,NORMAL
583,CHEWY,CHEWY
584,SUGGEST,SUGGEST
585,WASH,WASH
586,ORGANIZATIONS,ORGANIZATIONS
587,EMPLOYEES,EMPLOYES
588,CULTURES,CULTURES
589,AWESOME,AWESOME
590,INTERRUPT,INTERRUPT
591,LUMBERYARD,LUMBERYARD
592,SLOGAN,SLOGAN
593,YELLOW,YELLOW
594,THOUSAND,THOUSAND
595,TREASURE,TREASURE
596,PUSH,PUSH
597,FAITHFUL,FAITHFUL
598,BIGFOOT,BIGFOOT
599,MICROWAVES,MICROWAVES
600,SAFEWAY,SAFEWAY
601,TECHNOLOGY,TECHNOLOGY
602,WITHDRAWN,WITHDRAWN
603,RED,RED
604,SHOCK,SHOCK
605,SOFTEN,SOFTEN
606,DIRECT,DIRECT
607,CONCEPT,CONCEPT
608,HOPEFUL,HOPEFUL
609,LENGTHEN,LENGTHEN
610,SEIZURE,SEIZURE
611,MOUTHS,MOUTHS
612,BRONCO,BRONCO
613,PLAYOFFS,PLAYOFFS
614,FOUR,FOUR
615,TOOTHPASTE,TOOTHPASTE
616,UNFORTUNATE,UNFORTUNATE
617,STARVE,STARVE
618,PATHFINDER,PATHFINDER
619,OBJECTED,OBJECTED
620,VASE,VASE
621,HANDSHAKE,HANDSHAKE
622,NINE,NINE
623,CHALK,CHALK
624,SUBTRACT,SUBTRACT
625,WARMTH,WARMTH
626,SIX,SIX
627,IMAGERY,IMAGERY
628,LOYAL,LOYAL
629,CROSS,CROSS
630,EIGHT,EIGHT
631,ONE,ONE
632,EXPLOSION,EXPLOSION
633,BEYOND,BEYOND
634,RUGBY,RUGBY
635,TRAUMA,TRAUMA
636,THATCH,THATCH
637,YANKEE,YANKEE
638,SPOONS,SPOONS
639,REAL,REAL
640,WISEGUY,WISEGUY
641,TAB,TAB
642,CLIFFHANGER,CLIFFHANGER
